filename,state,topH,topS,topB,bottomH,bottomS,bottomB
IMG_0383.JPG,clearSunset,208,45,43,39,17,80
IMG_0384.JPG,clearSunset,206,52,51,56,13,50
IMG_0385.JPG,clearSunset,206,52,50,69,10,49
IMG_0386.JPG,clearSunset,206,52,51,56,13,50
IMG_0387.JPG,clearSunset,209,34,55,2,27,50
IMG_0388.JPG,clearDusk,209,37,45,21,36,50
IMG_0389.JPG,clearMidday,212,47,56,211,41,69
IMG_0390.JPG,clearSunset,210,33,40,41,21,58
IMG_0391.JPG,clearSunset,211,30,55,351,27,46
IMG_0392.JPG,clearSunset,227,22,58,297,17,43
IMG_0393.JPG,clearSunset,218,30,48,17,40,53
IMG_0394.JPG,clearSunset,215,26,33,33,30,60
IMG_0395.JPG,clearMidday,218,40,56,217,34,66
IMG_0396.JPG,clearDusk,238,21,64,214,34,53
IMG_0397.JPG,clearDusk,227,30,62,216,36,54
IMG_0398.JPG,clearSunset,223,28,44,24,22,62
IMG_0399.JPG,clearDusk,240,21,23,23,17,66
IMG_0400.JPG,clearDusk,233,26,62,248,21,57
IMG_0401.JPG,clearSunset,223,39,45,11,49,68
IMG_0402.JPG,clearSunset,315,26,24,28,33,89
IMG_0403.JPG,clearSunset,248,31,20,31,29,98
IMG_0404.JPG,clearSunset,257,29,25,22,44,70
IMG_0405.JPG,clearDusk,221,40,54,229,24,53
IMG_0406.JPG,clearDusk,229,38,45,291,16,78
IMG_0407.JPG,clearNight,223,51,19,228,31,19
IMG_0408.JPG,clearSunset,218,51,34,11,52,64
IMG_0409.JPG,clearSunset,238,35,28,34,29,100
IMG_0410.JPG,clearSunset,240,33,16,21,43,90
IMG_0411.JPG,clearDusk,221,55,16,8,62,34
IMG_0412.JPG,clearNight,218,54,24,233,27,25
IMG_0413.JPG,clearNight,222,57,9,10,28,17
IMG_0414.JPG,clearDusk,222,55,16,20,25,65
IMG_0415.JPG,clearDusk,218,52,8,18,26,41
IMG_0416.JPG,clearNight,223,52,11,240,29,11
IMG_0417.JPG,clearNight,224,55,8,240,25,8
IMG_0418.JPG,clearNight,221,52,12,218,42,20
IMG_0419.JPG,clearNight,228,56,4,210,7,23
IMG_0420.JPG,clearNight,220,60,4,213,14,25
IMG_0421.JPG,clearNight,218,55,8,300,15,10
IMG_0423.JPG,clearNight,220,50,5,211,36,29
IMG_0424.JPG,clearNight,228,56,4,15,28,17
IMG_0425.JPG,clearNight,220,60,6,224,41,11
IMG_0426.JPG,clearNight,233,47,7,225,35,9
IMG_0427.JPG,clearNight,228,50,4,218,42,28
IMG_0428.JPG,clearNight,220,50,2,330,5,15
IMG_0429.JPG,clearNight,222,59,7,220,39,9
IMG_0430.JPG,clearNight,230,46,5,220,35,7
IMG_0431.JPG,clearNight,240,60,2,208,39,19
IMG_0432.JPG,clearDusk,223,54,5,217,40,18
IMG_0433.JPG,clearNight,180,50,1,195,19,17
IMG_0434.JPG,clearNight,228,63,3,210,29,8
IMG_0437.JPG,clearNight,216,63,3,218,50,19
IMG_0438.JPG,clearNight,220,60,2,213,44,16
IMG_0443.JPG,clearNight,226,64,13,216,67,25
IMG_0444.JPG,clearNight,218,67,5,219,68,10
IMG_0445.JPG,clearNight,220,64,5,222,57,16
IMG_0446.JPG,clearNight,218,67,5,223,58,12
IMG_0447.JPG,clearNight,218,73,4,216,68,9
IMG_0448.JPG,clearNight,220,60,2,33,22,20
IMG_0449.JPG,clearNight,223,64,4,217,59,9
IMG_0451.JPG,clearNight,218,67,5,216,46,25
IMG_0461.JPG,clearNight,0,0,2,33,34,38
IMG_0462.JPG,clearNight,0,0,1,28,38,20
IMG_0463.JPG,clearNight,0,0,1,30,37,11
IMG_0467.JPG,clearNight,30,22,4,24,24,16
IMG_0469.JPG,clearNight,0,0,2,33,27,16
IMG_0471.JPG,clearNight,60,20,2,26,35,8
IMG_0473.JPG,clearDawn,219,60,17,24,65,94
IMG_0474.JPG,clearDawn,215,64,26,29,59,100
IMG_0475.JPG,clearDawn,218,60,16,41,55,100
IMG_0476.JPG,clearDawn,218,64,20,216,43,30
IMG_0477.JPG,clearDawn,218,59,11,34,61,100
IMG_0478.JPG,clearDawn,222,56,14,25,65,90
IMG_0479.JPG,clearDawn,223,45,33,28,61,100
IMG_0480.JPG,clearDawn,236,33,18,28,55,89
IMG_0481.JPG,clearDawn,217,52,50,219,32,56
IMG_0482.JPG,clearDawn,216,57,43,215,55,48
IMG_0483.JPG,clearDawn,229,48,13,36,56,98
IMG_0484.JPG,clearDawn,235,39,13,34,54,100
IMG_0485.JPG,clearDawn,234,36,11,25,34,73
IMG_0486.JPG,clearDawn,235,36,14,32,49,60
IMG_0487.JPG,clearDawn,221,47,34,247,11,63
IMG_0488.JPG,clearDawn,231,42,13,23,24,81
IMG_0489.JPG,clearDawn,247,29,12,34,52,98
